Pathways	Object ID
(+)-camphor biosynthesis	PWY-6990
(+)-pisatin biosynthesis	PWY-2467
(+)-secoisolariciresinol diglucoside biosynthesis	PWY-7487
(-)-4'-demethyl-epipodophyllotoxin biosynthesis	PWY-7749
(-)-camphor biosynthesis	PWY-6991
(-)-dehydrodiconiferyl alcohol degradation	PWY-7557
(-)-glycinol biosynthesis	PWY-2761
(-)-maackiain biosynthesis	PWY-2464
(-)-medicarpin biosynthesis	PWY-2463
(-)-microperfuranone biosynthesis	PWY-7556
(1'<i>S</i>,5'<i>S</i>)-averufin biosynthesis	PWY-5954
(1,3)-&beta;-D-xylan degradation	PWY-6789
(1,4)-&beta;-D-xylan degradation	PWY-6717
(1<i>R</i>)-(2-amino-1-hydroxyethyl)phosphonate degradation	PWY-8465
(2-trimethylamino)ethylphosphonate degradation	PWY-8124
(2<i>R</i>)-methoxymalonyl-[acp] biosynthesis	PWY-8426
(2<i>S</i>)-ethylmalonyl-CoA biosynthesis	PWY-8425
(2S,3E)-2-amino-4-methoxy-but-3-enoate biosynthesis	PWY-7907
(3<i>E</i>)-4,8-dimethylnona-1,3,7-triene biosynthesis I	PWY-5434
(3<i>E</i>)-4,8-dimethylnona-1,3,7-triene biosynthesis II	PWY-6007
(3<i>R</i>)-linalool biosynthesis	PWY-7709
(3<i>R</i>)-N-[(2<i>S</i>)-1-hydroxy-6-[(3<i>R</i>)-3-isocyanobutanamido]hexan-2-yl]-3-isocyanobutanamide biosynthesis	PWY-8320
(3<i>S</i>)-diazinane-3-carboxylate biosynthesis	PWY-8299
(3<i>S</i>)-linalool biosynthesis	PWY-7141
(4<i>R</i>)-4-[(<i>E</i>)-2-butenyl]-4-methyl-L-threonine biosynthesis	PWY-8441
(4<i>R</i>)-carveol and (4<i>R</i>)-dihydrocarveol degradation	PWY-5922
(4<i>R</i>)-carvone biosynthesis	PWY-5928
(4<i>S</i>)-carveol and (4<i>S</i>)-dihydrocarveol degradation	PWY-5927
(4S)-carvone biosynthesis	PWY-7443
(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis II (4-desaturase)	PWY-7728
(4Z,7Z,10Z,13Z,16Z)-docosapentaenoate biosynthesis (6-desaturase)	PWY-7726
(5<i>R</i>)-carbapenem carboxylate biosynthesis	PWY-5737
(5Z)-dodecenoate biosynthesis I	PWY0-862
(5Z)-dodecenoate biosynthesis II	PWY-7858
(5<i>Z</i>)-icosenoate biosynthesis	PWY-5361
(7Z,10Z,13Z)-hexadecatrienoate biosynthesis	PWY-7590
(8<i>E</i>,10<i>E</i>)-dodeca-8,10-dienol biosynthesis	PWY-7654
(9<i>Z</i>)-tricosene biosynthesis	PWY-7035
(aminomethyl)phosphonate degradation	PWY-7805
(<i>E,E</i>)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis	PWY-6668
(Kdo)<sub>2</sub>-lipid A biosynthesis (<i>E. coli</i>)	KDO-LIPASYN-PWY
(Kdo)<sub>2</sub>-lipid A biosynthesis (generic)	PWY-8285
(Kdo)<sub>2</sub>-lipid A biosynthesis (<i>H. pylori</i>)	PWY2DNV-2
(Kdo)<sub>2</sub>-lipid A biosynthesis (<i>P. gingivalis</i>)	PWY-8247
(Kdo)<sub>2</sub>-lipid A biosynthesis (<i>P. putida</i>)	PWY-8075
(Kdo)<sub>2</sub>-lipid A biosynthesis I (<i>Brucella</i>)	PWY2B4Q-7
(Kdo)<sub>2</sub>-lipid A modification (<i>H. pylori</i>)	PWY2DNV-3
(R)- and (S)-3-hydroxybutanoate biosynthesis (engineered)	PWY-7216
(<i>R</i>)-camphor degradation	P601-PWY
(<i>R</i>)-canadine biosynthesis	PWY-7522
(<i>R</i>)-cysteate degradation	PWY-6642
(R)-lactate fermentation to propanoate II (acrylate pathway)	PWY-5494
(<i>R,R</i>)-butanediol biosynthesis	PWY-5951
(R,R)-butanediol degradation	PWY3O-246
(<i>S</i>)-camphor degradation	PWY-6989
(<i>S</i>)-lactate fermentation to propanoate, acetate and hydrogen	PWY-8086
(<i>S</i>)-propane-1,2-diol degradation	PWY-7013
(<i>S</i>)-reticuline biosynthesis I	PWY-3581
(S)-reticuline biosynthesis II	PWY-6133
(<i>S,S</i>)-butanediol biosynthesis	PWY-6390
(S,S)-butanediol degradation	PWY-6388
(<i>Z</i>)-butanethial-<i>S</i>-oxide biosynthesis	PWY-6900
(<i>Z</i>)-phenylmethanethial <i>S</i>-oxide biosynthesis	PWY-6539
1,2,4,5-tetrachlorobenzene degradation	PWY-6099
1,2,4-trichlorobenzene degradation	PWY-6091
1,2-dichlorobenzene degradation	PWY-6090
1,2-dichloroethane degradation	12DICHLORETHDEG-PWY
1,2-propanediol biosynthesis from lactate (engineered)	PWY-7541
1,3,5-trimethoxybenzene biosynthesis	PWY-5765
1,3,6,7-tetrahydroxyxanthone biosynthesis (from benzoyl-CoA)	PWY-5001
1,3-&beta;-D-glucan biosynthesis	PWY-6773
1,3-dichlorobenzene degradation	PWY-6081
1,3-dimethylbenzene degradation to 3-methylbenzoate	PWY-5428
1,3-propanediol biosynthesis (engineered)	PWY-7385
1,4-dichlorobenzene degradation	14DICHLORBENZDEG-PWY
1,4-dihydroxy-6-naphthoate biosynthesis I	PWY-7374
1,4-dihydroxy-6-naphthoate biosynthesis II	PWY-7371
1,4-dimethylbenzene degradation to 4-methylbenzoate	PWY-5429
1,5-anhydrofructose degradation	PWY-6992
1,8-cineole degradation	6-HYDROXYCINEOLE-DEGRADATION-PWY
1-(<i>sn</i>-glycero-1-phospho)-1D-myo-inositol biosynthesis	PWY-8429
1-(<i>sn</i>-glycero-3-phospho)-1D-myo-inositol biosynthesis	PWY-8430
1-butanol autotrophic biosynthesis (engineered)	PWY-6886
1-chloro-2-nitrobenzene degradation	PWY-7681
1-methylpyrrolinium biosynthesis	PWY-5315
1-tuberculosinyladenosine biosynthesis	PWY-5935
10,13-epoxy-11-methyl-octadecadienoate biosynthesis	PWY-7691
10-<i>cis</i>-heptadecenoyl-CoA degradation (yeast)	PWY-7337
10-methylstearate biosynthesis	PWY-8172
10-<i>trans</i>-heptadecenoyl-CoA degradation (MFE-dependent, yeast)	PWY-7339
10-<i>trans</i>-heptadecenoyl-CoA degradation (reductase-dependent, yeast)	PWY-7338
11-<i>cis</i>-3-hydroxyretinal biosynthesis	PWY-7043
11-oxyandrogens biosynthesis	PWY-8202
12-<i>epi</i>-fischerindole biosynthesis	PWY-7958
12-<i>epi</i>-hapalindole biosynthesis	PWY-7959
15-<i>epi</i>-lipoxin biosynthesis	PWY66-393
1D-<i>myo</i>-inositol hexakisphosphate biosynthesis I (from Ins(1,4,5)P3)	PWY-6361
1D-<i>myo</i>-inositol hexakisphosphate biosynthesis II (mammalian)	PWY-6362
1D-<i>myo</i>-inositol hexakisphosphate biosynthesis III (<i>Spirodela polyrrhiza</i>)	PWY-4661
1D-<i>myo</i>-inositol hexakisphosphate biosynthesis IV (<i>Dictyostelium</i>)	PWY-6372
1D-<i>myo</i>-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)	PWY-6554
2'-deoxymugineic acid phytosiderophore biosynthesis	PWY-5912
2,2'-bis-(4-hydroxy-3-methybut-2-enyl)-&beta;,&beta;-carotene monoglucoside biosynthesis	PWY-7945
2,2'-dihydroxybiphenyl degradation	PWY-7009
2,2'-dihydroxyketocarotenoids biosynthesis	PWY-7637
2,3-<i>cis</i>-flavanols biosynthesis	PWY-6035
2,3-dihydroxybenzoate biosynthesis	PWY-5901
2,3-dihydroxybenzoate degradation	PWY-7480
2,3-<i>trans</i>-flavanols biosynthesis	PWY-6029
2,4,5-trichlorophenoxyacetate degradation	PWY-6200
2,4,6-trichlorophenol degradation	PWY-6178
2,4,6-trinitrophenol and 2,4-dinitrophenol degradation	PWY-7627
2,4,6-trinitrotoluene degradation	PWY-6051
2,4-dichlorophenoxyacetate degradation	PWY-6085
2,4-dichlorotoluene degradation	PWY-6190
2,4-dinitroanisole degradation	PWY-7628
