,TopMatch1,TopMatch2,TopMatch3,TopMatch4,TopMatch5
Metabolic pathways,"('ethylmalonyl-CoA pathway', 0.62)","('methiin metabolism', 0.61)","('ppGpp metabolism', 0.59)","('superpathway of chorismate metabolism', 0.58)","('superpathway of methanogenesis', 0.58)"
Biosynthesis of secondary metabolites,"('superpathway of mycolate biosynthesis', 0.7)","('linoleate metabolites biosynthesis', 0.68)","('stigma estolide biosynthesis', 0.68)","('superpathway of choline biosynthesis', 0.68)","('superpathway of ergotamine biosynthesis', 0.68)"
Microbial metabolism in diverse environments,"('D-<i>myo</i>-inositol-5-phosphate metabolism', 0.52)","('thyronamine and iodothyronamine metabolism', 0.51)","('coniferin metabolism', 0.5)","('glutathione amide metabolism', 0.5)","('coumarin metabolism (to melilotic acid)', 0.49)"
Carbon metabolism,"('cyanophycin metabolism', 0.77)","('alliin metabolism', 0.76)","('baicalein metabolism', 0.76)","('coniferin metabolism', 0.76)","('ethiin metabolism', 0.71)"
2-Oxocarboxylic acid metabolism,"('5-oxo-L-proline metabolism', 0.7)","('anthocyanidin sophoroside metabolism', 0.63)","('pinosylvin metabolism', 0.58)","('bile acid 7&beta;-dehydroxylation', 0.57)","('wogonin metabolism', 0.57)"
Fatty acid metabolism,"('glutathione amide metabolism', 0.69)","('alliin metabolism', 0.68)","('baicalein metabolism', 0.68)","('coniferin metabolism', 0.68)","('cyanophycin metabolism', 0.65)"
Biosynthesis of amino acids,"('apicidin F biosynthesis', 0.84)","('apicidin biosynthesis', 0.79)","('iso-bile acids biosynthesis I', 0.79)","('bacilysin biosynthesis', 0.78)","('betalamic acid biosynthesis', 0.78)"
Nucleotide metabolism,"('pinosylvin metabolism', 0.67)","('wogonin metabolism', 0.67)","('monoacylglycerol metabolism (yeast)', 0.63)","('methiin metabolism', 0.62)","('sphingomyelin metabolism', 0.62)"
Biosynthesis of nucleotide sugars,"('superpathway of nicotine biosynthesis', 0.74)","('nicotine biosynthesis', 0.7)","('quercetin sulfate biosynthesis', 0.7)","('creatine phosphate biosynthesis', 0.69)","('crocetin esters biosynthesis', 0.69)"
Biosynthesis of cofactors,"('FeMo cofactor biosynthesis', 0.9)","('molybdenum cofactor biosynthesis', 0.81)","('mycofactocin biosynthesis', 0.8)","('factor 430 biosynthesis', 0.79)","('(+)-camphor biosynthesis', 0.76)"
Degradation of aromatic compounds,"('methoxylated aromatic compound degradation I', 0.81)","('methoxylated aromatic compound degradation II', 0.79)","('aromatic compounds degradation via &beta;-ketoadipate', 0.76)","('superpathway of aromatic compound degradation via 3-oxoadipate', 0.67)","('4-coumarate degradation (aerobic)', 0.66)"
Glycolysis / Gluconeogenesis,"('gluconeogenesis I', 0.79)","('gluconeogenesis III', 0.76)","('glycolysis III (from glucose)', 0.64)","('glyceollin biosynthesis', 0.57)","('glycolysis VI (from fructose)', 0.57)"
Citrate cycle (TCA cycle),"('TCA cycle VII (acetate-producers)', 0.67)","('TCA cycle III (animals)', 0.59)","('ascorbate glutathione cycle', 0.56)","('acetate conversion to acetyl-CoA', 0.55)","('reductive TCA cycle I', 0.55)"
Pentose phosphate pathway,"('pentose phosphate pathway', 1.0)","('pentose phosphate pathway (partial)', 0.86)","('pentose phosphate pathway (oxidative branch) I', 0.72)","('pentose phosphate pathway (oxidative branch) II', 0.71)","('pentose phosphate pathway (non-oxidative branch) I', 0.68)"
Pentose and glucuronate interconversions,"('medicarpin conjugates interconversion', 0.65)","('biochanin A conjugates interconversion', 0.64)","('maackiain conjugates interconversion', 0.63)","('methyl indole-3-acetate interconversion', 0.61)","('afrormosin conjugates interconversion', 0.6)"
Fructose and mannose metabolism,"('fructosyllysine and glucosyllysine metabolism', 0.71)","('glutathione amide metabolism', 0.61)","('coniferin metabolism', 0.59)","('gossypetin metabolism', 0.58)","('cyanophycin metabolism', 0.57)"
Galactose metabolism,"('gossypetin metabolism', 0.73)","(""6'-deoxychalcone metabolism"", 0.7)","('alliin metabolism', 0.7)","('baicalein metabolism', 0.7)","('coniferin metabolism', 0.7)"
Ascorbate and aldarate metabolism,"('ketogluconate metabolism', 0.6)","('&alpha;-linolenate metabolites biosynthesis', 0.57)","('baicalein metabolism', 0.57)","('alliin metabolism', 0.56)","('glutathione amide metabolism', 0.56)"
Starch and sucrose metabolism,"('anthocyanidin sophoroside metabolism', 0.65)","('thiamine triphosphate metabolism', 0.59)","('5-oxo-L-proline metabolism', 0.58)","('alliin metabolism', 0.57)","('polyphosphate metabolism', 0.57)"
Amino sugar and nucleotide sugar metabolism,"('phosphatidate metabolism, as a signaling molecule', 0.59)","('superpathway of seleno-compound metabolism', 0.56)","('sphingosine and sphingosine-1-phosphate metabolism', 0.54)","('superpathway of glycoalkaloid metabolism (Solanaceae)', 0.51)","('superpathway of L-citrulline metabolism', 0.51)"
Pyruvate metabolism,"('polyphosphate metabolism', 0.74)","('pinosylvin metabolism', 0.7)","('ppGpp metabolism', 0.69)","('methiin metabolism', 0.65)","('sphingomyelin metabolism', 0.65)"
Glyoxylate and dicarboxylate metabolism,"('glycolate and glyoxylate degradation I', 0.65)","('fructosyllysine and glucosyllysine metabolism', 0.64)","('glycolate and glyoxylate degradation II', 0.64)","('glycolate and glyoxylate degradation III', 0.63)","('glutathione amide metabolism', 0.6)"
