,TopMatch1,TopMatch2,TopMatch3,TopMatch4,TopMatch5
(+)-camphor biosynthesis,"('(+)-camphor biosynthetic process', 0.8214285714285714)","('(+)-camphor biosynthetic process', 0.8214285714285714)","('(+)-camphor biosynthetic process', 0.8214285714285714)","('rhamnolipid biosynthesis', 0.73)","('cAMP biosynthetic process', 0.71)"
(+)-pisatin biosynthesis,"('fraxetin biosynthesis', 0.83)","('sideretin biosynthesis', 0.81)","('cis-zeatin biosynthetic process', 0.71)","('cis-zeatin biosynthetic process', 0.71)","('(+)-pinoresinol biosynthetic process', 0.7)"
(+)-secoisolariciresinol diglucoside biosynthesis,"('(+)-secoisolariciresinol biosynthetic process', 0.7659574468085106)","('(+)-secoisolariciresinol biosynthetic process', 0.7659574468085106)","('(+)-secoisolariciresinol biosynthetic process', 0.7659574468085106)","('(+)-secoisolariciresinol biosynthetic process', 0.7659574468085106)","('(-)-secoisolariciresinol biosynthetic process', 0.7446808510638298)"
(-)-4'-demethyl-epipodophyllotoxin biosynthesis,"('tRNA 4-thiouridine biosynthesis', 0.6)","('demethylkotanin biosynthetic process', 0.59)","('demethylkotanin biosynthetic process', 0.59)","('demethylkotanin biosynthetic process', 0.59)","('demethylkotanin biosynthetic process', 0.59)"
(-)-camphor biosynthesis,"('(+)-camphor biosynthetic process', 0.7857142857142857)","('(+)-camphor biosynthetic process', 0.7857142857142857)","('(+)-camphor biosynthetic process', 0.7857142857142857)","('rhamnolipid biosynthesis', 0.73)","('cAMP biosynthetic process', 0.71)"
(-)-dehydrodiconiferyl alcohol degradation,"('C-terminal protein deglutamylation', 0.53)","('C-terminal protein deglutamylation', 0.53)","('secondary alcohol metabolic process', 0.52)","('alcohol metabolic process', 0.51)","('hydrogen generation via biophotolysis', 0.51)"
(-)-glycinol biosynthesis,"('glycine biosynthetic process', 0.73)","('glycine biosynthetic process', 0.73)","('fraxetin biosynthesis', 0.71)","('rhamnolipid biosynthesis', 0.71)","('glycol biosynthetic process', 0.71)"
(-)-maackiain biosynthesis,"('fraxetin biosynthesis', 0.74)","('sideretin biosynthesis', 0.73)","('rhamnolipid biosynthesis', 0.7)","('(-)-lariciresinol biosynthetic process', 0.65625)","('(-)-lariciresinol biosynthetic process', 0.65625)"
(-)-medicarpin biosynthesis,"('sideretin biosynthesis', 0.76)","('fraxetin biosynthesis', 0.73)","('rhamnolipid biosynthesis', 0.72)","('ubiquinone biosynthesis complex', 0.67)","('(-)-secologanin biosynthetic process', 0.6666666666666666)"
(-)-microperfuranone biosynthesis,"('(-)-microperfuranone biosynthetic process', 0.8648648648648649)","('(-)-microperfuranone biosynthetic process', 0.8648648648648649)","('(-)-microperfuranone biosynthetic process', 0.8648648648648649)","('(-)-microperfuranone metabolic process', 0.7605633802816901)","('(-)-microperfuranone catabolic process', 0.7605633802816901)"
"(1'<i>S</i>,5'<i>S</i>)-averufin biosynthesis","('averantin biosynthetic process', 0.54)","('averantin biosynthetic process', 0.54)","('averantin biosynthetic process', 0.54)","('averantin biosynthetic process', 0.54)","('sideretin biosynthesis', 0.5373134328358209)"
"(1,3)-&beta;-D-xylan degradation","('xylan acetylation', 0.58)","('xylan acetylation', 0.58)","('(1->3)-beta-D-glucan catabolic process', 0.5714285714285714)","('(1->3)-beta-D-glucan catabolic process', 0.5714285714285714)","('(1->3)-beta-D-glucan biosynthetic process', 0.547945205479452)"
"(1,4)-&beta;-D-xylan degradation","('xylan acetylation', 0.58)","('xylan acetylation', 0.58)","('(1->3)-beta-D-glucan catabolic process', 0.5428571428571428)","('(1->6)-beta-D-glucan catabolic process', 0.5428571428571428)","('(1->3)-beta-D-glucan catabolic process', 0.5428571428571428)"
(1<i>R</i>)-(2-amino-1-hydroxyethyl)phosphonate degradation,"('2-aminoethylphosphonate catabolic process', 0.56)","('2-aminoethylphosphonate catabolic process', 0.56)","('2-aminoethylphosphonate metabolic process', 0.54)","('2-aminoethylphosphonate metabolic process', 0.54)","('mitochondrial methionyl-tRNA aminoacylation', 0.54)"
(2-trimethylamino)ethylphosphonate degradation,"('2-aminoethylphosphonate metabolic process', 0.65)","('2-aminoethylphosphonate metabolic process', 0.65)","('2-aminoethylphosphonate catabolic process', 0.6436781609195402)","('2-aminoethylphosphonate catabolic process', 0.6436781609195402)","('actin phosphorylation', 0.55)"
(2<i>R</i>)-methoxymalonyl-[acp] biosynthesis,"('L-methylmalonyl-CoA biosynthetic process', 0.68)","('L-methylmalonyl-CoA biosynthetic process', 0.68)","('17-methylnonadec-1-ene biosynthetic process', 0.59)","('18-methylnonadec-1-ene biosynthetic process', 0.59)","('17-methylnonadec-1-ene biosynthetic process', 0.59)"
