,TopMatch1,TopMatch2,TopMatch3,TopMatch4,TopMatch5
Metabolic pathways,"('backdoor pathway of androgen biosynthesis', 0.5631049626403584)","('superpathway of glycolysis and the Entner-Doudoroff pathway', 0.5371192789756423)","('Ac/N-end rule pathway', 0.5266256688184645)","('ethiin metabolism', 0.5214376570785376)","('N-glucosylnicotinate metabolism', 0.5214376570785376)"
Biosynthesis of secondary metabolites,"('di-homo-&gamma;-linolenate metabolites biosynthesis', 0.7822304836593206)","('icosapentaenoate metabolites biosynthesis', 0.7822304836593206)","('arachidonate metabolites biosynthesis', 0.7270951906832596)","('&alpha;-linolenate metabolites biosynthesis', 0.6987696458387814)","('docosahexaenoate metabolites biosynthesis', 0.6742745856552906)"
Microbial metabolism in diverse environments,"('superpathway of anaerobic energy metabolism (invertebrates)', 0.6459448204148897)","('anaerobic energy metabolism (invertebrates, mitochondrial)', 0.6249323569757771)","('anaerobic energy metabolism (invertebrates, cytosol)', 0.6088088600162793)","('superpathway of sterol biosynthesis in diatoms', 0.5925390647025857)","('ethiin metabolism', 0.5807749540936367)"
Carbon metabolism,"('methanol oxidation to carbon dioxide', 0.6411009894816402)","('ethiin metabolism', 0.637159066737324)","('N-glucosylnicotinate metabolism', 0.637159066737324)","('cyanophycin metabolism', 0.6334630370497562)","('superpathway of seleno-compound metabolism', 0.6298827855876523)"
2-Oxocarboxylic acid metabolism,"('levopimaric acid biosynthesis', 0.9051346169203665)","('CMP-diacetamido-8-epilegionaminic acid biosynthesis', 0.8922180204513372)","('stellatic acid biosynthesis', 0.8922180204513372)","('ultra-long-chain fatty acid biosynthesis', 0.8740152316150634)","('fusaric acid biosynthesis', 0.8456005406228427)"
Fatty acid metabolism,"('ultra-long-chain fatty acid biosynthesis', 0.8904520535801402)","('poly-hydroxy fatty acids biosynthesis', 0.8357496776984344)","('long-chain fatty acid activation', 0.8277461243767458)","('2-methyl-branched fatty acid &beta;-oxidation', 0.8217091337018468)","('3-methyl-branched fatty acid &alpha;-oxidation', 0.8169443782143746)"
Biosynthesis of amino acids,"('superpathway of aromatic amino acid biosynthesis', 0.8351822951535379)","('iso-bile acids biosynthesis II', 0.8286900057535568)","('iso-bile acids biosynthesis I', 0.8264796365565479)","('superpathway of branched chain amino acid biosynthesis', 0.8211371122119828)","('ultra-long-chain fatty acid biosynthesis', 0.8155645157899866)"
Nucleotide metabolism,"('ethiin metabolism', 0.5994911691577511)","('N-glucosylnicotinate metabolism', 0.5994911691577511)","('superpathway of purine nucleotide salvage', 0.5868695182603159)","('polyphosphate metabolism', 0.5531166349962379)","('superpathway of chorismate metabolism', 0.5501846842392997)"
Biosynthesis of nucleotide sugars,"('superpathway of hydrolyzable tannin biosynthesis', 0.7219599548259711)","('superpathway of branched chain amino acid biosynthesis', 0.7181160294777443)","('superpathway of aromatic amino acid biosynthesis', 0.7177279134538551)","('superpathway of CMP-sialic acids biosynthesis', 0.7164301186099744)","('hydroxycinnamate sugar acid ester biosynthesis', 0.713067677250232)"
Biosynthesis of cofactors,"('FeMo cofactor biosynthesis', 0.7213071913720204)","('molybdenum cofactor biosynthesis', 0.7213071913720204)","('cytidylyl molybdenum cofactor biosynthesis', 0.7110585820935132)","('bis(guanylyl molybdenum cofactor) biosynthesis', 0.7104656493342233)","('phytochelatins biosynthesis', 0.7091109638435551)"
Degradation of aromatic compounds,"('methoxylated aromatic compound degradation II', 0.8745568454264208)","('methoxylated aromatic compound degradation I', 0.8673671424336443)","('methanogenesis from methoxylated aromatic compounds', 0.8490383858326689)","('aromatic compounds degradation via &beta;-ketoadipate', 0.8356178547758839)","('chlorinated phenols degradation', 0.8299843263765775)"
Glycolysis / Gluconeogenesis,"('ketogenesis', 0.870980034798835)","('superpathway of L-threonine metabolism', 0.8186134624019724)","('superpathway of glycolysis and the Entner-Doudoroff pathway', 0.8049738753260526)","('superpathway of L-citrulline metabolism', 0.8023538363407848)","('superpathway of butirocin biosynthesis', 0.7918582146702908)"
Citrate cycle (TCA cycle),"('TCA cycle VII (acetate-producers)', 0.8214129670317484)","('TCA cycle V (2-oxoglutarate synthase)', 0.8087682945573639)","('TCA cycle III (animals)', 0.8083982069423997)","('TCA cycle I (prokaryotic)', 0.807267937214471)","('reductive TCA cycle II', 0.8071526903720246)"
Pentose phosphate pathway,"('pentose phosphate pathway', 1.0000000341396709)","('methylerythritol phosphate pathway II', 0.9480346212694952)","('methylerythritol phosphate pathway I', 0.9419077496949734)","('pentose phosphate pathway (partial)', 0.9128376293488422)","('pentose phosphate pathway (non-oxidative branch) II', 0.8921600727398897)"
Pentose and glucuronate interconversions,"('superpathway of pentose and pentitol degradation', 0.8720351181126115)","('UDP-sugars interconversion', 0.8479138122189492)","('superpathway of L-threonine biosynthesis', 0.8433812992381878)","('superpathway of L-homoserine and L-methionine biosynthesis', 0.8423267401695084)","('di-myo-inositol phosphate biosynthesis', 0.8323833128753536)"
Fructose and mannose metabolism,"('fructose 2,6-bisphosphate biosynthesis', 0.8547748022577025)","('superpathway of fucose and rhamnose degradation', 0.7926756158820405)","('glycolysis II (from fructose 6-phosphate)', 0.7868856174850135)","('2-deoxy-D-glucose 6-phosphate degradation', 0.7807914158395184)","('glucose and glucose-1-phosphate degradation', 0.7630096751547324)"
Galactose metabolism,"('superpathway of fucose and rhamnose degradation', 0.8315887133833835)","('fructose 2,6-bisphosphate biosynthesis', 0.8107461209743504)","('superpathway of L-threonine metabolism', 0.803360822213255)","('stachyose biosynthesis', 0.8025635369309696)","('superpathway of glucose and xylose degradation', 0.7945013434135932)"
Ascorbate and aldarate metabolism,"('fructosyllysine and glucosyllysine metabolism', 0.8734113836786485)","('guaiacol biosynthesis', 0.8690661150052694)","('ethiin metabolism', 0.8572681858983755)","('N-glucosylnicotinate metabolism', 0.8572681858983755)","('superpathway of seleno-compound metabolism', 0.8565406553738302)"
Starch and sucrose metabolism,"('fructan biosynthesis', 0.7473917205539381)","('starch biosynthesis', 0.7473917205539381)","('sucrose degradation IV (sucrose phosphorylase)', 0.7271535977522885)","('sucrose degradation III (sucrose invertase)', 0.7218873185584576)","('sucrose degradation VII (sucrose 3-dehydrogenase)', 0.7175365137734796)"
Amino sugar and nucleotide sugar metabolism,"('superpathway of aromatic amino acid biosynthesis', 0.7584293164579923)","('superpathway of branched chain amino acid biosynthesis', 0.733163690502539)","('superpathway of CMP-sialic acids biosynthesis', 0.721627250759517)","('superpathway of bitter acids biosynthesis', 0.7031240198365674)","('superpathway of fatty acid biosynthesis initiation', 0.7029741525439527)"
Pyruvate metabolism,"('superpathway of L-threonine metabolism', 0.7859535130528756)","('superpathway of chorismate metabolism', 0.7700752153273156)","('superpathway of L-citrulline metabolism', 0.7432580147402211)","('5-oxo-L-proline metabolism', 0.7407215579384684)","('creatine biosynthesis', 0.7355549392067439)"
Glyoxylate and dicarboxylate metabolism,"('glyoxylate assimilation', 0.8801746168830274)","('superpathway of L-threonine metabolism', 0.8560232300695324)","('5-oxo-L-proline metabolism', 0.849977192698164)","('NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde', 0.846606419720816)","('superpathway of L-homoserine and L-methionine biosynthesis', 0.8461207157587546)"
Propanoate metabolism,"('ethiin metabolism', 1.0000000805595497)","('N-glucosylnicotinate metabolism', 1.0000000805595497)","('superpathway of seleno-compound metabolism', 0.8484009948781981)","('5-oxo-L-proline metabolism', 0.820428681918754)","('fructosyllysine and glucosyllysine metabolism', 0.8055269900791168)"
Butanoate metabolism,"('superpathway of L-threonine metabolism', 0.7859535130528756)","('superpathway of chorismate metabolism', 0.7700752153273156)","('superpathway of L-citrulline metabolism', 0.7432580147402211)","('5-oxo-L-proline metabolism', 0.7407215579384684)","('creatine biosynthesis', 0.7355549392067439)"
C5-Branched dibasic acid metabolism,"('levopimaric acid biosynthesis', 0.8531645651947)","('superpathway of aromatic amino acid biosynthesis', 0.8381125533780146)","('fusaric acid biosynthesis', 0.8296944793422059)","('abietic acid biosynthesis', 0.8289778128771913)","('betalamic acid biosynthesis', 0.8289778128771913)"
Inositol phosphate metabolism,"('superpathway of inositol phosphate compounds', 0.8337948894488595)","('polyphosphate metabolism', 0.7847974899503896)","('di-myo-inositol phosphate biosynthesis', 0.7838297049420617)","('creatine phosphate biosynthesis', 0.7608067243704391)","('dolichol and dolichyl phosphate biosynthesis', 0.7458198614756879)"
Oxidative phosphorylation,"('NAD phosphorylation and dephosphorylation', 0.6120440798014346)","('CMP phosphorylation', 0.5822427969588049)","('glucose degradation (oxidative)', 0.573267597838424)","('3-phosphoinositide degradation', 0.5474785361057879)","('ribose phosphorylation', 0.5347864213694306)"
Photosynthesis,"('oxygenic photosynthesis', 0.6449945859384703)","('nitrifier denitrification', 0.5108167108898236)","('C4 photosynthetic carbon assimilation cycle, NAD-ME type', 0.49651058780366325)","('C4 photosynthetic carbon assimilation cycle, NADP-ME type', 0.49651058780366325)","('photorespiration II', 0.4955120173753006)"
Photosynthesis - antenna proteins,"('photosynthesis light reactions', 0.5926234030347489)","('protective electron sinks in the thylakoid membrane (PSII to PTOX)', 0.5770788306866216)","('oxygenic photosynthesis', 0.5733163284299054)","('diadinoxanthin and fucoxanthin biosynthesis (diatoms)', 0.5721714317403935)","('photorespiration II', 0.563311548190573)"
Carbon fixation in photosynthetic organisms,"('oxygenic photosynthesis', 0.7267118136872994)","('C4 photosynthetic carbon assimilation cycle, NAD-ME type', 0.7025013406999217)","('C4 photosynthetic carbon assimilation cycle, NADP-ME type', 0.7025013406999217)","('superpathway of sulfide oxidation (phototrophic sulfur bacteria)', 0.6689895302956049)","('C4 photosynthetic carbon assimilation cycle, PEPCK type', 0.6659690248718012)"
Carbon fixation pathways in prokaryotes,"('reductive glycine pathway of autotrophic CO<sub>2</sub> fixation', 0.6280335741236244)","('C4 photosynthetic carbon assimilation cycle, NAD-ME type', 0.5985318553786135)","('C4 photosynthetic carbon assimilation cycle, NADP-ME type', 0.5985318553786135)","('superpathway of sulfide oxidation (phototrophic sulfur bacteria)', 0.5915991094281132)","('C4 photosynthetic carbon assimilation cycle, PEPCK type', 0.5892122980855158)"
Methane metabolism,"('nitrite-dependent anaerobic methane oxidation', 0.8354487409487417)","('superpathway of sulfide oxidation (phototrophic sulfur bacteria)', 0.7797660184770137)","('superpathway of methylsalicylate metabolism', 0.7761945695218939)","('methanogenesis from dimethylsulfide', 0.7631166301645145)","('ethene and chloroethene degradation', 0.7611187538028643)"
Nitrogen metabolism,"('ethiin metabolism', 0.6879688778616997)","('N-glucosylnicotinate metabolism', 0.6879688778616997)","('superpathway of seleno-compound metabolism', 0.6731716447555133)","('cyanophycin metabolism', 0.6696135125533914)","('superpathway of methylsalicylate metabolism', 0.6614158176380307)"
Sulfur metabolism,"('superpathway of seleno-compound metabolism', 0.7911565942263868)","('ethiin metabolism', 0.7731752324114229)","('N-glucosylnicotinate metabolism', 0.7731752324114229)","('sulfur volatiles biosynthesis', 0.7573665243886002)","('superpathway of methylsalicylate metabolism', 0.7436258844874011)"
Fatty acid biosynthesis,"('ultra-long-chain fatty acid biosynthesis', 0.9278695566603566)","('poly-hydroxy fatty acids biosynthesis', 0.8750301130852713)","('CMP-diacetamido-8-epilegionaminic acid biosynthesis', 0.8721849443411019)","('stellatic acid biosynthesis', 0.8721849443411019)","('levopimaric acid biosynthesis', 0.8607905004160714)"
Fatty acid elongation,"('fatty acid elongation -- saturated', 0.8519060261148886)","('ultra-long-chain fatty acid biosynthesis', 0.8390267506916002)","('long-chain fatty acid activation', 0.8059597793194239)","('poly-hydroxy fatty acids biosynthesis', 0.791312293930741)","('levopimaric acid biosynthesis', 0.7860105733329456)"
